position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,16.506607929515418,7.716417415807745,5.554003406120341,1.1993317794950633,0.1905404063321066,0.07369605413418095,0.3490382917951423,0.1597507847373363,588.2202569961124,217.59037210506716,836.6791854611221,242.5125194183567,0.3806029169135986,0.14722800874518366
mid,18.789719626168225,7.919055695820664,5.290575834029129,1.1144436291504438,0.19822206388010555,0.0836101588426717,0.42115079040598513,0.18338689770132982,612.0228759582573,211.3552881043556,678.24525347466,207.9470555220271,0.46261528808822205,0.15351194365898999
jungle,22.741071428571427,9.698361505287982,1.2093194578465252,0.555721177337651,0.19477338372701242,0.07843319659987515,0.4550496492405748,0.1913466233476606,480.5883054499397,188.25293257561043,969.4859076802225,194.59030687904283,0.48853760900945314,0.13630749397191197
carry,17.556053811659194,8.179035309355612,5.852302426763881,1.0756115420008046,0.20275812003068844,0.06554688247032549,0.4660325615247244,0.2079068133970862,616.1360496512496,224.8621200770291,587.7202603940316,139.11810765992675,0.49535129112933196,0.14013928548001428
support,45.392070484581495,19.673676960933143,1.1027436900530958,0.4426165316116463,0.19436823018538635,0.0800875683166226,0.4601612514096255,0.20033604215701384,347.5182638700676,153.33065325290735,540.0680226996244,172.0481286621428,0.4937864310766399,0.13848050174090878
