position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,18.57847533632287,7.536809574735878,5.961071462477113,1.0976059240766263,-0.1980408123683196,0.07493656107001,0.37050741650301083,0.17816115908522803,571.3541545260634,181.4305229471313,821.3435260052102,200.22511629476801,0.4001130767816936,0.15113173956811493
mid,20.786363636363635,8.3291201470649,5.808999400594003,1.0566114530095791,-0.20484664250863854,0.06961761430479989,0.4390614782358856,0.18780055093040077,620.3925645821785,191.67623097827766,716.8728717910818,186.75602508000463,0.4886904995632576,0.15339105800002373
jungle,25.99078341013825,9.268120780900148,1.1499653064382198,0.5108874676505669,-0.1887603518776476,0.07247742399367334,0.47553471816341414,0.1918691351933778,474.2330814072879,189.8848175816557,938.6955436092279,192.43478010329233,0.5264520173769979,0.14445633959429874
carry,21.42105263157895,10.333125158395593,6.461622239180891,0.9528701935055643,-0.1972297198668584,0.0629466086576159,0.4599053219685167,0.18539158440288445,667.0521295706462,234.57462405492424,603.3820474671747,142.01913056694912,0.5069628568092313,0.14868205849816693
support,53.03669724770642,21.55538428807374,0.9720693005462918,0.43619878122051653,-0.20231810055708438,0.0667353413359508,0.48916174405380636,0.19870273536958719,308.4852093827007,125.70338407433144,551.2986389140029,188.32528995570817,0.5371955940085787,0.1371125643119723
