position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,18.134146341463413,6.668784889680666,6.449444636181123,1.1346654824719258,0.20537932294869746,0.0842798920338974,0.3456753119808801,0.18138881083932065,543.7089864242321,195.60190367362813,806.4309557420916,194.51646820933914,0.390353954271203,0.149460772261083
mid,20.096774193548388,7.642817011041465,6.227338965756594,1.0072012621923214,0.19970774589493911,0.07414568659357071,0.44497043228715155,0.20423869589554544,600.7020764478475,210.0091088637136,695.572990893148,184.02081698148126,0.4983132868466168,0.15049163665373483
jungle,26.467532467532468,9.160278580666068,1.13905498318594,0.5228818786027413,0.18890033468447517,0.059648292901687605,0.5004891654463204,0.2061817977910358,526.7627184348812,194.19352766618482,937.0642828240797,155.84438031476128,0.5670217595220801,0.13804795424305094
carry,21.239520958083833,8.803209697261318,6.961285848585859,0.9969479103601329,0.1911915831126499,0.07227174813800448,0.4324412483647328,0.20784770433313415,601.0355576905122,227.3717982034107,554.4019760982964,134.31782483432096,0.4871658235260731,0.15539804602714766
support,58.78235294117647,19.183472154392803,1.1041293772677079,0.35891192233308855,0.2033700724377121,0.07632818777385125,0.4893419118011924,0.20987289514448623,270.13324781614256,100.01755594740146,526.9605575964038,159.3312859696539,0.5552372230430109,0.14660302844844234
