position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,19.063025210084035,8.329717685291701,5.765256318031752,1.068387016682571,-0.19453562288643478,0.07397885689909865,0.361352534403783,0.17060022801804056,596.2632173934123,207.970141256144,877.3099108401013,202.35022846094478,0.3770904239445109,0.15602033759555814
mid,21.266094420600858,8.86330631902336,5.573429979611083,1.1009173883579484,-0.1961176328814408,0.0672012733913374,0.45973521516505833,0.19975753600001975,681.2369261491722,231.9025775973107,775.2242004840283,227.94147203970732,0.4775776454195998,0.14336501341737515
jungle,24.91810344827586,9.787226405704777,1.2417186643099967,0.5205343766931401,-0.20466243437658357,0.06564578609492598,0.4960149272184959,0.1901067159135196,507.33580269955814,185.89879242900025,987.935808128158,197.75600692282563,0.517384090649306,0.135678339654718
carry,20.575,10.11619729437622,6.174413159932311,0.9776900393516678,-0.1911934938823376,0.05777924082671093,0.4658537446435641,0.19704910207800647,662.6325230903698,245.42309849963516,618.8290112076497,145.06995167408675,0.482684103780204,0.14439825143867768
support,51.35897435897436,21.682041594345087,0.9847235372369652,0.4250519178613394,-0.20326447019854482,0.06743526624854207,0.48292057481590933,0.21324819641667414,326.1050901230451,152.66505436734735,561.7330308901684,186.54978480164277,0.4922455937700905,0.14774339393853483
