position,tier,queue,killsPerMinMean,killsPerMinStd,deathsPerMinMean,deathsPerMinStd,assistsPerMinMean,assistsPerMinStd,totalDamageDealtToChampionsPerMinMean,totalDamageDealtToChampionsPerMinStd,totalHealPerMinMean,totalHealPerMinStd,totalUnitsHealedPerMinMean,totalUnitsHealedPerMinStd,damageSelfMitigatedPerMinMean,damageSelfMitigatedPerMinStd,damageDealtToObjectivesPerMinMean,damageDealtToObjectivesPerMinStd,damageDealtToTurretsPerMinMean,damageDealtToTurretsPerMinStd,visionScorePerMinMean,visionScorePerMinStd,timeCCingOthersPerMinMean,timeCCingOthersPerMinStd,totalDamageTakenPerMinMean,totalDamageTakenPerMinStd,goldEarnedPerMinMean,goldEarnedPerMinStd,totalMinionsKilledPerMinMean,totalMinionsKilledPerMinStd,neutralMinionsKilledPerMinMean,neutralMinionsKilledPerMinStd,totalTimeCrowdControlDealtPerMinMean,totalTimeCrowdControlDealtPerMinStd,visionWardsBoughtInGamePerMinMean,visionWardsBoughtInGamePerMinStd,killsRatioMean,killsRatioStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,xcor_0Mean,xcor_0Std,ycor_0Mean,ycor_0Std,xcor_1Mean,xcor_1Std,ycor_1Mean,ycor_1Std,xcor_2Mean,xcor_2Std,ycor_2Mean,ycor_2Std,xcor_3Mean,xcor_3Std,ycor_3Mean,ycor_3Std,xcor_4Mean,xcor_4Std,ycor_4Mean,ycor_4Std,xcor_5Mean,xcor_5Std,ycor_5Mean,ycor_5Std,xcor_6Mean,xcor_6Std,ycor_6Mean,ycor_6Std,xcor_7Mean,xcor_7Std,ycor_7Mean,ycor_7Std,xcor_8Mean,xcor_8Std,ycor_8Mean,ycor_8Std,spell_1,spell_11,spell_12,spell_13,spell_14,spell_21,spell_3,spell_30,spell_31,spell_32,spell_39,spell_4,spell_6,spell_7
NONE,DIAMOND,450,0.4512488961666933,0.25703219083851647,0.4526830163075837,0.15436395613748652,1.0350803270753683,0.4199998067388453,1110.4367497681847,458.6625984873468,109.96091696930496,234.26812764528867,0.12043721052667221,0.1328975895431393,974.73834002565,804.2624697074181,62.760118379039355,73.6892760142082,62.760118379039355,73.6892760142082,0.0,0.0,1.4852169287834136,1.2123438306912213,1211.1539749032881,437.6065203067471,634.1454768770121,74.74819063913984,2.3356104525660815,1.2844097094394578,0.0,0.0,8.84915445732373,8.41814458345606,0.0,0.0,0.6563064773339408,0.1336787244388819,0.2000601255769156,0.053148621328488264,1.4863292232420615,0.4820633643212098,6400.380296610169,5455.0178159187535,6343.791313559322,5271.262712369588,6560.556673728814,1650.8641423509741,6551.043961864407,1604.2368564361211,6595.624470338983,1417.3816243988804,6444.253177966101,1396.746112087918,6427.802966101695,1529.5752805251298,6358.380826271186,1492.3872577781356,6406.130826271186,1595.5688090530118,6313.464512711865,1577.1089321272734,6438.831038135593,1639.1985395917957,6322.340042372882,1595.5189419310682,6571.113877118644,1652.065676903801,6490.4772245762715,1625.3992083966375,6426.2277542372885,1874.1756479410574,6328.374470338983,1838.2833029723686,6383.236758474576,2064.410982687786,6327.591101694915,2014.8884678974125,0.08686440677966102,0.0,0.0,0.09110169491525423,0.04184322033898305,0.06302966101694915,0.0513771186440678,0.0,0.0,0.4962923728813559,0.0,0.986228813559322,0.037076271186440676,0.1461864406779661
NONE,PLATINUM,450,0.44893825789248065,0.25572200259872724,0.45125351638412353,0.15643423642303805,1.0262259872222947,0.4081252122927106,1087.5539630113728,450.3486924316382,100.78245309435594,200.0650342814505,0.12055130754919287,0.1233591642639384,927.0170558946758,752.529799324194,62.922237925282225,74.52462573238898,62.922237925282225,74.52462573238898,0.0,0.0,1.404295298615832,1.1326700457628782,1184.8400770784904,423.42441632389006,633.8474367775727,73.75933877440515,2.316708550123527,1.2731020402399469,0.0,0.0,20.851756540487344,550.3170307739134,0.0,0.0,0.6553455308291906,0.13576387334678877,0.2000005102070046,0.0544794956591695,1.4751642451147755,0.474598771286053,6400.383525708289,5455.395239122051,6343.656873032529,5270.797141901164,6359.024658971668,1794.4606910072155,6349.45907660021,1746.6119688458202,6455.94333683106,1394.6374657342296,6323.010493179433,1361.9251619936622,6342.202518363064,1414.258241875512,6326.672088142707,1394.0877381109224,6334.4533053515215,1606.814053587204,6237.346799580273,1566.5573415419028,6359.317943336831,1622.0874570384735,6242.084470094439,1582.9509386667319,6308.80167890871,1769.2891573532827,6243.618048268625,1731.4715168365738,6433.261804826862,1889.3887578801457,6339.973242392445,1848.828696327764,6249.8530954879325,1975.8490462262932,6182.290136411332,1932.7810195628601,0.07345225603357818,0.0,0.0,0.10178384050367262,0.046169989506820566,0.05613850996852046,0.04407135362014691,0.0,0.0,0.4863588667366212,0.0,0.9858342077649528,0.040398740818468,0.1657922350472193
NONE,GOLD,450,0.44653947112620607,0.24944993311287025,0.4473547243841137,0.14867848936873546,1.0312300504955103,0.41151004913672135,1129.1629108145198,478.9459877968768,117.36150222292076,239.5788755099314,0.1228587419834599,0.13712549303607807,998.5318389531483,800.1414871046281,63.863430847554085,76.14501312276764,63.863430847554085,76.14501312276764,0.0,0.0,1.428241857013284,1.1504450578984946,1227.4336777577105,435.6332520684224,630.7033463342666,72.49313703377553,2.343424886981911,1.2958195895173652,0.0,0.0,8.628646143912235,8.9246448898919,0.0,0.0,0.6580696558532008,0.13543989320554103,0.19977679164261664,0.05366434271772915,1.4777695216217162,0.4669520325853075,6382.558152173913,5454.931438255912,6326.123913043478,5271.3093337713,6431.711413043478,1741.084532246689,6439.820108695652,1705.4874065456468,6612.170108695652,1419.0234565665266,6447.808695652174,1393.4936083333655,6363.785326086957,1521.8571555342833,6293.480434782608,1479.8325238663256,6370.297282608695,1572.743730891812,6257.070108695652,1539.1983446890872,6394.285326086957,1665.4121573132938,6262.06902173913,1616.6455711725635,6419.226086956522,1734.458997529128,6319.346739130435,1684.6611803062672,6369.81847826087,1845.582817294597,6276.379891304347,1805.8826954304743,6385.4375,1899.0126063773935,6304.3125,1843.975927430206,0.06141304347826087,0.0,0.0,0.10652173913043478,0.0391304347826087,0.06032608695652174,0.04184782608695652,0.0,0.0,0.47391304347826085,0.0,0.9858695652173913,0.03206521739130435,0.1967391304347826
NONE,SILVER,450,0.4355072580674377,0.25373733318898345,0.4366308259518682,0.15480156041838924,0.9706924275496439,0.39805924630042866,1076.3526827552726,472.1023130989774,109.1360578359627,219.17794237141825,0.12147692269374091,0.134227590777084,922.7470912884147,781.6351445781038,61.19426013717383,72.84311816628991,61.19426013717383,72.84311816628991,0.0,0.0,1.4184866061352612,1.1679014172263031,1168.5374956390024,424.5945593673332,626.1595034112769,75.13915818253211,2.2900405645054556,1.2535124944855218,0.0,0.0,8.424510155194556,7.80009855770034,0.0,0.0,0.6442600892736825,0.14088280668493802,0.20000319703295558,0.0564641667392226,1.4061996856170815,0.4689198832783866,6397.780626780626,5455.159732202476,6340.9002849002845,5270.783117248386,6457.104843304844,1635.5535365696994,6433.731054131054,1598.616099599357,6610.9139601139605,1381.2816479207058,6435.1150997151,1357.1154798841114,6388.892877492877,1431.818992421425,6344.932193732194,1389.8778862652723,6398.151566951567,1601.7632825340766,6275.441595441595,1566.5440685040744,6483.227920227921,1661.5069208127686,6335.013675213675,1618.2950978601368,6478.290598290599,1821.811814751051,6387.605698005698,1774.7019746180592,6508.451851851852,1753.4417565311444,6396.430769230769,1720.5826199501087,6473.531054131054,1930.1448662491214,6368.740170940171,1882.880956820875,0.04786324786324787,0.0,0.0,0.12193732193732194,0.039886039886039885,0.06324786324786325,0.02621082621082621,0.0,0.0,0.449002849002849,0.0,0.9851851851851852,0.041025641025641026,0.22336182336182336
NONE,BRONZE,450,0.44076488672301917,0.26982522150983224,0.44266456129325377,0.15860014757247462,1.0152731159303199,0.41782861152904643,1074.4817452143177,474.4903772671256,125.86028452854958,241.86203333686134,0.12933332324587365,0.12907454027941614,908.9120521673434,758.6198143969025,63.42380128848557,74.52983518240904,63.42380128848557,74.52983518240904,0.0,0.0,1.4974831466234324,1.221578329751944,1174.4844525357137,419.91751255409,630.9460114468366,79.64858969346228,2.235496077322173,1.2438909858004057,0.0,0.0,8.529771647367854,7.439630802138835,0.0,0.0,0.6595323269012031,0.1375454926136636,0.19997327325947267,0.054213847551431694,1.456038002653339,0.49577870487243186,6422.332697201018,5455.394786179463,6364.599236641221,5271.480287097952,6334.590330788804,1504.3448701458717,6326.791984732825,1463.1912110307253,6427.896946564885,1474.2857471433442,6292.333969465649,1438.3990392431094,6401.0273536895675,1444.8393860822941,6318.013994910942,1418.535913739633,6273.699745547074,1544.8523062652537,6164.314885496183,1514.3794142381937,6537.82951653944,1691.4755362389187,6377.836513994911,1640.3512845479397,6345.050890585242,1726.5193100645995,6280.5400763358775,1671.9201687248462,6578.340330788804,1895.7139846841199,6482.760178117049,1863.7773135059267,6472.424936386768,1967.0421752597156,6373.630407124682,1921.4305732071978,0.029262086513994912,0.0,0.0,0.14185750636132316,0.05407124681933842,0.05407124681933842,0.022264631043257,0.0,0.0,0.44529262086513993,0.0,0.9802798982188295,0.03435114503816794,0.23473282442748092
NONE,IRON,450,0.4303749231375678,0.27341422441532826,0.43378669996641317,0.16692895943353497,0.9681540675104466,0.4349871308993354,997.02048638297,474.1276194436366,98.56400876749984,185.88355206260889,0.12985545630797848,0.12800039231391977,793.198071862652,620.3140179849546,56.96522613503028,79.09183486628196,56.96522613503028,79.09183486628196,0.0,0.0,1.3508199253146607,1.166985420896841,1094.1923043034292,392.2742021439149,628.0294819939145,80.47316096738395,2.1764037829808904,1.2331342703407069,0.0,0.0,7.392238075597905,6.754266876873837,0.0,0.0,0.6437300233855912,0.15465429252301688,0.20022079496814715,0.060927594052243426,1.3985289906480145,0.5216168082688203,6375.634954193094,5455.642434747298,6319.581395348837,5270.878525552887,6477.420014094433,1640.2318026675644,6480.61451726568,1586.1782364673577,6489.391825229034,1548.9636801655206,6365.37984496124,1510.9293271955726,6379.720930232558,1563.269048086567,6310.489781536293,1522.554882875956,6387.355179704017,1570.1509932937938,6280.181113460183,1538.1207940824695,6455.38266384778,1715.8360845724649,6347.768851303735,1653.3197607967197,6575.564482029598,1801.4811021460107,6465.277660324172,1748.0424692584945,6439.520789288231,1884.938747894003,6326.285412262157,1854.442547827582,6464.759689922481,2133.6592965352506,6370.545454545455,2079.424398531688,0.030303030303030304,0.0,0.0,0.14517265680056377,0.08949964763918253,0.05919661733615222,0.023960535588442564,0.0,0.0,0.40380549682875266,0.0,0.9675828047921071,0.04510218463706836,0.23537702607470048
NONE,TOTAL,450,0.44288694779837684,0.2592413873325455,0.4446615170553459,0.15637553525767794,1.0097366909889345,0.4152694588186389,1082.841861738976,469.1702224690371,110.2978042531928,221.96651815942087,0.12369799680960837,0.13097900333750742,926.616380864047,762.713209750991,62.029036589264074,75.03896119530206,62.029036589264074,75.03896119530206,0.0,0.0,1.4324607313959754,1.1755353015152399,1180.4598846476258,425.60766612566835,630.8097230758656,75.84909167304913,2.288893912845312,1.2671448579762852,0.0,0.0,10.694678484363846,235.92642239928983,0.0,0.0,0.653175101684486,0.13930698952107576,0.1999981397478527,0.05531227904441298,1.4526236387873113,0.48470735066228415,6396.723892100193,5453.942516260943,6339.987668593449,5269.8328695798255,6437.633429672447,1670.804324359291,6430.887861271676,1627.4874163097857,6535.569845857418,1436.7030759110867,6387.285741811175,1406.8858609199942,6383.5299614643545,1483.2225893018742,6326.119749518304,1448.4107393043873,6362.645375722544,1583.8720639817964,6255.924181117533,1552.2806441246855,6441.096242774566,1663.752902702193,6310.943159922928,1615.9856823760874,6446.7014450867055,1752.064556079275,6362.181213872833,1707.2686788155468,6456.276011560693,1857.5925840525665,6355.889499036609,1821.994331941322,6399.052890173411,1993.511111455033,6316.5859344894025,1944.1303333109495,0.05684007707129094,0.0,0.0,0.11608863198458574,0.05019267822736031,0.05944123314065511,0.03593448940269749,0.0,0.0,0.4621387283236994,0.0,0.982466281310212,0.03815028901734104,0.19739884393063584
