position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,18.95408163265306,8.088797804464336,6.04996609950197,1.112830254131121,0.20270588433835252,0.07050612890427346,0.36990317007122236,0.17908637204660902,591.3580591636797,200.4022768586922,873.3672060789513,219.20276442796614,0.41802460395232677,0.14130972691061813
mid,21.524324324324326,8.141460096502207,6.158974495544504,1.0575658801258268,0.1933385688465497,0.06438328233566715,0.43101550490819396,0.19147964885020616,612.6616000583343,194.9309063369474,725.6756785132142,194.9273664311686,0.4836251190746818,0.1360717788883717
jungle,26.871134020618555,10.676053866877682,1.1631681401233804,0.5383635562955356,0.20366333687050187,0.06568329041396197,0.48956687911426944,0.21903949589889032,499.6602160830956,206.61336764550495,973.0228689660217,187.29564657740926,0.5530009920223995,0.15049948844503003
carry,21.391959798994975,9.209521625146026,6.6248713264430235,1.0029050498657726,0.1990086704579882,0.06654276078070517,0.46380161868280945,0.21549363225624357,662.8135525969693,235.60850470472627,601.2988453569893,152.14684052304997,0.5222288421647401,0.15099805180658576
support,57.662921348314605,23.51075908063054,1.0862390345863422,0.3182506605223027,0.20046375961915694,0.06686112648166051,0.48239021041142194,0.20284663513030338,288.99660632773646,118.4426696114227,553.0527347482491,159.512397649378,0.5544066091443379,0.13576668854501409
