position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,19.483253588516746,8.018065955762687,6.159309229833383,1.1270945212073227,-0.20124200305222864,0.07567817224360372,0.34050461956114736,0.17547674474370323,580.7860437522218,201.85259236407492,845.9824772032555,227.17869777201534,0.39487317320928,0.14549594258215967
mid,21.35820895522388,8.666085897111763,6.139409334072575,1.1190268618481949,-0.18814559980986978,0.07664713640602216,0.4221321249198837,0.17743364249718402,613.1757170217531,187.7003066570205,708.0600734811975,200.40324350987362,0.4971741216451965,0.13385480906115008
jungle,27.357512953367877,9.963561634729324,1.1338714593154775,0.5042518290269073,-0.19635759374316655,0.06677889220180519,0.46575710099122924,0.17826929182947499,479.71372128707276,193.59247093319848,974.5534701538272,198.11408991218457,0.5525826846896439,0.14577085428679198
carry,21.880597014925375,9.435341628250196,6.686370484447925,0.9937165882766215,-0.197516976543008,0.06611132000089082,0.4381291086769755,0.18188549707153262,636.6863236287508,211.52088356978805,591.0950283492789,143.448678884865,0.5167462486337377,0.14023599305371173
support,59.12755102040816,24.963338372294906,1.074719756633823,0.3417064630391617,-0.20592488537782688,0.06675392496287244,0.4413526049349526,0.18637566420866886,274.84421277642485,112.79948843413929,526.7128341961828,160.00478146256927,0.5281646176878,0.13688220581837948
