position,visionScoreMean,visionScoreStd,csPerMinMean,csPerMinStd,deathsRatioMean,deathsRatioStd,killAssistPerMinMean,killAssistPerMinStd,damageDealtPerMinMean,damageDealtPerMinStd,damageTakenPerMinMean,damageTakenPerMinStd,killsRatioMean,killsRatioStd
top,16.921739130434784,7.6113542237516985,5.5515972974215195,1.2311404662662033,-0.19474837136796727,0.07425095317475615,0.34361744074899575,0.15029608050388737,589.6992612388594,211.28588063688684,831.8427930658842,212.0018261892605,0.36708473951822945,0.13783247280677424
mid,18.596491228070175,7.951637182982543,5.262697440957829,1.2119847818723242,-0.19978743583714934,0.08869357516118556,0.4310908420549387,0.18209349031427388,623.9962155792896,224.39734219931367,702.0342356830698,228.6395018817668,0.4647736298796817,0.1530504610691596
jungle,23.013333333333332,8.98435147512448,1.1939173103109606,0.5852104075984282,-0.1918421456231717,0.0728107630667016,0.47131826645923514,0.19147025896338254,502.95234586179697,195.452352552141,969.640253521306,181.94050964269707,0.5056111261514327,0.14190724325409976
carry,18.184549356223176,8.81981125611306,5.834528817590719,1.0945290452303311,-0.20442816345476222,0.06295018366890173,0.4615562139818323,0.20043535062802792,625.5221339904903,229.77223613070169,598.5444942319692,139.1359379331668,0.4848780276734932,0.14454431548396923
support,43.782051282051285,19.33551565723719,1.107229238919145,0.4873717373198584,-0.19439027082261817,0.08096084747819446,0.46224420132140137,0.20078925580288776,334.20737432923204,149.06132761955723,542.1669551732488,184.5127596132276,0.482782310757509,0.1405682262716883
