account_id,summoner_name,tier,match_id,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
z7YCw9-x26h1fyiLy2j8a3NFHBBuFEHYmuDIkTY7z5Bk,The lake,SILVER,4192921624,200,SUPPORT,1768,14,4,10,5,6,7109,0,1,17742,4557,2145,82,27,14656,12865,46,3,0,114,3,35,13,0.48484848484848486,0.19230769230769232,14237,14579,8608,4395,11705,5905,13604,4498,13381,2564,13623,8238,12006,2518,12524,2292,12376,2573,13619,3603,11533,3424,13563,4088,10211,5121,13473,3336,13348,3827,13118,4814
vTqEEcVTDQ8b5-9Dil_W9ipreB6IIFXunWamJm2NqNQN,개리형3,SILVER,4571313034,200,JUNGLE,1962,11,4,7,7,10,21742,0,1,16110,26913,6089,30,26,28495,14199,90,125,4,741,8,9,5,0.4857142857142857,0.1590909090909091,14486,14291,7972,3508,12537,6448,8282,3545,7982,9582,6108,12377,12420,6432,11226,6028,6244,12399,2641,11743,7871,10051,11164,7500,11120,1463,11440,8116,8299,6926,8251,8729
tbKUNYMXw29JE3fKw2TGXuER0qvD6erx7C3rvCHBBfaScEIf0idxql8a,서폿님알리좀여,SILVER,4571313034,200,TOP,1962,12,4,9,7,9,30734,0,1,32314,9529,4992,14,16,38967,13740,188,12,0,131,0,7,2,0.5142857142857142,0.1590909090909091,14486,14511,8624,4446,2771,12674,3867,13471,3974,13568,3050,12973,4093,13099,3415,13443,3636,13158,1447,12119,4319,13312,2520,12682,3390,13340,2316,12336,3029,12870,5668,13680
1iQIWnMx9Fi3geF2966nWshYqomJNrYq51ZoSqQiAWDYN_k,아이린좋와,SILVER,4571313034,200,SUPPORT,1962,4,14,5,7,18,17480,0,1,39773,3835,2116,63,63,23751,10354,32,0,0,228,2,22,6,0.6571428571428571,0.1590909090909091,14237,14579,8172,3508,13230,2142,12226,1600,14114,12331,12635,3107,11512,1484,10181,4902,13617,7139,11357,1463,10752,1106,11769,1073,11166,1038,13888,13134,7165,7455,10877,935
wmfcmHcOcl8H3_VQINVY4KJbn3oD28pEG586pkSIs5Zb4dU,양학당하러복귀,SILVER,4571313034,200,MID,1962,12,4,2,18,4,18026,0,1,22354,1108,318,19,19,32043,9158,110,16,4,97,0,11,2,0.17142857142857143,0.4090909090909091,14277,14223,8517,4981,7446,7459,6730,6899,8901,8942,7218,7307,8998,8754,7493,7302,12223,11959,5444,9190,8522,8613,11586,12078,7105,7316,8462,8598,6910,6476,8286,8332
CThvZPX4Kd6xg6Og1EWPj8ZmiMzZbvC9S7jwyAh9fGRo,박조키,SILVER,4571313034,200,BOTTOM,1962,4,7,12,5,13,42620,5739,4,10954,19782,4869,24,64,22840,17041,184,24,0,830,1,4,3,0.7142857142857143,0.11363636363636363,14147,14401,7859,3545,12169,3028,12039,2121,14204,13275,13282,3812,11725,1319,10517,4874,13358,3486,11266,1061,11116,1379,11213,1606,11214,1123,11643,6837,7312,7403,11199,940
BfPHK4QQJSvlWtwZUwI_XoVn4olfTCs3kZsV1CU0DT2-o2NZymNx0-j_,내가 바로 유민서,SILVER,4568456485,100,SUPPORT,2104,14,4,3,2,6,4991,0,1,15863,1367,1367,49,16,11235,7954,24,0,0,130,2,23,3,0.5294117647058824,0.09523809523809523,311,649,6915,3045,12645,2015,12638,2633,13406,3364,13209,3722,12090,1551,13503,2718,394,461,11706,1709,13368,3427,13166,3396,3879,1500,13775,4082,13540,2497,3413,939
fQ6NC_oLHxmR5qNz5O4cImt8TUlBiHw2fr1O0Il-rrEcZnYVGnBQGQ1q,충성스러운,SILVER,4568456485,100,JUNGLE,2104,11,4,4,3,5,8163,0,1,16356,14228,0,16,4,29321,11382,69,132,0,514,0,6,1,0.5294117647058824,0.14285714285714285,560,361,7162,3973,3125,7597,5190,9200,6046,10006,6887,5167,8644,2469,7241,3561,3252,8406,7123,5092,11193,4767,8224,3537,7611,5882,3354,8018,8303,4775,10058,4982
BpaxCAIq7EcqCVEgTs5BMyXfF0hlHgto9Q7GLQBZBSmkIVbY-E93jtZd,호매실중탑라이너,SILVER,4568456485,100,MID,2104,14,4,4,7,6,14316,0,1,15213,710,710,15,18,28142,10650,162,12,4,426,0,8,2,0.5882352941176471,0.3333333333333333,351,293,5224,8506,6873,7302,6507,6743,486,505,6471,6697,6804,6914,2981,1927,7002,8128,7631,7015,7364,7333,6791,6958,7012,6745,3544,7128,6857,6660,7354,7326
BXW6_BVBZFzLpwXxUQwHe5iW3L0hNUUaSACFqXu6vwjkCFDJjiSJCETX,용진이 바보,SILVER,4568456485,100,TOP,2104,4,14,2,5,6,9584,0,1,4302,828,459,31,23,12460,7996,91,2,1,505,2,7,3,0.47058823529411764,0.23809523809523808,560,581,3569,9015,2158,12037,2780,12580,3458,13058,1875,12153,1462,10141,2182,12191,3672,11465,1211,11214,774,8708,1735,10350,1632,6955,394,461,5513,8669,6744,6269
