account_id,summoner_name,tier,match_id,queue,team,position,playtime,spell1,spell2,kills,deaths,assists,totalDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,goldEarned,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,visionWardsBoughtInGame,wardsPlaced,wardsKilled,killsRatio,deathsRatio,xcor_0,ycor_0,xcor_1,ycor_1,xcor_2,ycor_2,xcor_3,ycor_3,xcor_4,ycor_4,xcor_5,ycor_5,xcor_6,ycor_6,xcor_7,ycor_7,xcor_8,ycor_8,xcor_9,ycor_9,xcor_10,ycor_10,xcor_11,ycor_11,xcor_12,ycor_12,xcor_13,ycor_13,xcor_14,ycor_14,xcor_15,ycor_15
30qvE4uPxPxNpgpE9kB-qn-aIoKPpXRgO4zmEk4DqBAeYaA,우리팀반성해라,GOLD,4560848817,420,100,SUPPORT,1270,14,4,5,0,11,8280,0,1,8895,4757,4128,26,34,8080,7128,32,0,0,102,1,15,2,0.6153846153846154,0,311,649,8280,7126,11988,1846,4126,840,11377,1881,13879,3862,12807,2863,12700,2645,6500,768,8185,7602,3826,1284,13576,3653,11929,1538,10632,3114,9320,4035,6761,8521
ILU75OETATEyfrDIwnhNnep4XEZTkY6aBF2-AtTcx0jB,길을 잃은 카터,GOLD,4560848817,420,100,JUNGLE,1270,11,4,9,4,3,11676,0,1,9704,22905,5291,11,110,18994,9909,29,114,12,388,1,2,3,0.46153846153846156,0.36363636363636365,560,361,8189,7281,8278,2757,3536,7813,2958,11312,8403,2484,6715,8289,7954,2061,7404,3959,8329,8196,3523,6704,11653,5595,2774,7883,4001,7420,9163,3912,394,461
kYOibw8O-IZ5bU5h8AqEnO5eU9I1SqyZJIz_bPHyytsL,참교사양선생,GOLD,4560848817,420,100,BOTTOM,1270,7,4,2,2,11,12992,1833,3,4853,6280,6280,18,31,10453,9051,143,12,4,582,3,10,0,0.5,0.18181818181818182,221,471,9227,6217,12170,1836,3380,749,11572,1574,13524,3755,12313,2563,13676,3959,5696,947,8238,7612,12648,2949,13426,3716,8199,1184,11066,2138,10579,2712,473,507
8bdg43jAK1TiOPjMLI7FmPAfAsEwdWJD8Df6mdlyWkyfYvs,엉둥둥이,GOLD,4560848817,420,100,MID,1270,3,4,7,2,6,19300,0,1,5886,3005,3005,11,30,9639,9059,122,5,1,113,2,7,1,0.5,0.18181818181818182,351,293,9011,6483,6650,6972,7081,6920,6792,7051,6924,7324,6529,8482,6061,6042,8283,7934,8058,7754,1950,1639,7137,6878,8117,8351,6980,7127,8723,5540,8794,8893
G5_PtW1qfqs20B-r__m8b2RM28fsQxCJxPpkSdTed9xao4k,speter0714,GOLD,4560848817,420,200,JUNGLE,1270,11,4,4,5,2,6961,0,1,8884,15846,0,20,4,18958,8075,43,90,0,97,3,3,3,0.5454545454545454,0.18518518518518517,14486,14291,8121,7816,12031,6805,7797,10935,5526,8968,13448,12418,8144,8118,11736,4068,11579,7721,6519,9667,2298,12061,6592,8416,5028,10490,1189,8465,10080,4475,7570,11031
tjUA6YmSpTRDe-Ht4QAIe1dnzhDKeRrHYP_5C1I7cURs1NM,SIRUTUK,GOLD,4560848817,420,200,MID,1270,14,4,2,6,5,6764,0,1,8812,0,0,14,1,16580,6827,122,0,0,29,0,5,4,0.6363636363636364,0.2222222222222222,14277,14223,12281,5049,7807,7504,7207,7439,6401,9099,8327,8303,8051,8246,7738,7610,8556,8472,8296,8140,7340,7486,8400,7753,8817,9045,8019,7854,9361,5746,7323,12479
6xRTai3h5pz6h0cUhtNQDSQJe4VizhGxXfHZi-nfReUInP8,Mhe뚜기s,GOLD,4560848817,420,200,BOTTOM,1270,7,4,2,6,0,6967,1578,3,4513,903,903,8,0,12940,7153,132,0,0,0,1,5,0,0.18181818181818182,0.2222222222222222,14147,14401,11998,5078,12617,2673,12212,2545,12501,2141,13443,4756,13483,3599,13941,4816,13393,4052,13162,2830,14447,13838,13713,4726,12518,1251,12660,2340,11770,3999,13647,7182
KravxDBEqH_SAT8_AAgg2IcXtotfyctfrFeflXCpIKov,기복왕,GOLD,4560848817,420,200,SUPPORT,1270,14,4,0,7,5,2701,2273,4,8453,0,0,26,19,14399,4354,28,0,0,125,2,14,3,0.45454545454545453,0.25925925925925924,14237,14579,13492,12938,12864,2347,13266,5550,12772,3308,14101,4635,7211,8054,9544,9130,14340,14391,9006,9017,13368,8572,13669,4790,9491,6321,7423,9820,10514,3374,10162,10194
WGUVCfZ12pLwIDoou2ZUbxvaG38Qa5MGMotPdoNYAw7ovFI,버스강제탈주,GOLD,4560848817,420,200,TOP,1270,12,4,3,3,1,10010,0,1,12033,2114,2114,9,16,15735,8976,135,0,0,123,0,5,2,0.36363636363636365,0.1111111111111111,14486,14511,8072,7982,2821,12754,2095,11965,9037,13298,4024,13741,1954,12444,3971,13628,4166,13480,1561,10804,8498,13951,3450,9936,1192,10591,11382,4760,3295,13299,4017,11614
8HPUNzhZbTV33bxyLW-3Pc33u0_ymG3BSwdOC034vQ2WzsGn6vPKHGOi,정신병 종합세트,GOLD,4465313420,420,100,MID,2230,14,4,3,10,1,15360,0,1,16737,3385,1943,19,34,33786,12259,212,8,0,159,1,13,0,0.17391304347826086,0.2777777777777778,351,293,5152,8664,7716,7602,7770,8062,4663,4192,9403,5785,3461,3155,5737,5768,7749,7442,6419,6165,6666,7035,5938,6210,10057,6947,5815,6163,6174,7308,394,461
